from_revision,from_code,to_revision,to_code,weight,note
H4,100390,H4,100390,1.0000,identity
H4,100410,H4,100410,1.0000,identity
H4,100490,H4,100490,1.0000,identity
H4,100510,H4,100510,1.0000,identity
H4,100590,H4,100590,1.0000,identity
H4,100610,H4,100610,1.0000,identity
H4,100620,H4,100620,1.0000,identity
H4,100630,H4,100630,1.0000,identity
H4,100640,H4,100640,1.0000,identity
H4,100710,H4,100710,1.0000,identity
H4,100790,H4,100790,1.0000,identity
H4,100810,H4,100810,1.0000,identity
H4,100821,H4,100821,1.0000,identity
H4,100829,H4,100829,1.0000,identity
H4,100830,H4,100830,1.0000,identity
H4,100840,H4,100840,1.0000,identity
H4,100850,H4,100850,1.0000,identity
H4,100860,H4,100860,1.0000,identity
H4,100890,H4,100890,1.0000,identity
H4,110100,H4,110100,1.0000,identity
H4,110220,H4,110220,1.0000,identity
H4,110290,H4,110290,1.0000,identity
H4,110311,H4,110311,1.0000,identity
H4,110313,H4,110313,1.0000,identity
H4,110319,H4,110319,1.0000,identity
H4,110320,H4,110320,1.0000,identity
H4,110412,H4,110412,1.0000,identity
H4,110419,H4,110419,1.0000,identity
H4,110422,H4,110422,1.0000,identity
H4,110423,H4,110423,1.0000,identity
H4,110429,H4,110429,1.0000,identity
H4,110430,H4,110430,1.0000,identity
H4,110510,H4,110510,1.0000,identity
H4,110520,H4,110520,1.0000,identity
H4,110610,H4,110610,1.0000,identity
H4,110620,H4,110620,1.0000,identity
H4,110630,H4,110630,1.0000,identity
H4,110710,H4,110710,1.0000,identity
H4,110720,H4,110720,1.0000,identity
H4,110811,H4,110811,1.0000,identity
H4,110812,H4,110812,1.0000,identity
H4,110813,H4,110813,1.0000,identity
H4,110814,H4,110814,1.0000,identity
H4,110819,H4,110819,1.0000,identity
H4,110820,H4,110820,1.0000,identity
H4,110900,H4,110900,1.0000,identity
H4,120110,H4,120110,1.0000,identity
H4,120190,H4,120190,1.0000,identity
H4,120230,H4,120230,1.0000,identity
H4,120241,H4,120241,1.0000,identity
H4,120242,H4,120242,1.0000,identity
H4,120300,H4,120300,1.0000,identity
H4,120400,H4,120400,1.0000,identity
H4,120510,H4,120510,1.0000,identity
H4,120590,H4,120590,1.0000,identity
H4,120600,H4,120600,1.0000,identity
H4,120710,H4,120710,1.0000,identity
H4,120721,H4,120721,1.0000,identity
H4,120729,H4,120729,1.0000,identity
H4,120730,H4,120730,1.0000,identity
H4,120740,H4,120740,1.0000,identity
H4,120750,H4,120750,1.0000,identity
H4,120760,H4,120760,1.0000,identity
H4,120770,H4,120770,1.0000,identity
H4,120791,H4,120791,1.0000,identity
H4,120799,H4,120799,1.0000,identity
H4,120810,H4,120810,1.0000,identity
H4,120890,H4,120890,1.0000,identity
H4,120910,H4,120910,1.0000,identity
H4,120921,H4,120921,1.0000,identity
H4,120922,H4,120922,1.0000,identity
H4,120923,H4,120923,1.0000,identity
H4,120924,H4,120924,1.0000,identity
H4,120925,H4,120925,1.0000,identity
H4,120929,H4,120929,1.0000,identity
H4,120930,H4,120930,1.0000,identity
H4,120991,H4,120991,1.0000,identity
H4,120999,H4,120999,1.0000,identity
H4,121010,H4,121010,1.0000,identity
H4,121020,H4,121020,1.0000,identity
H4,121120,H4,121120,1.0000,identity
H4,121130,H4,121130,1.0000,identity
H4,121140,H4,121140,1.0000,identity
H4,121190,H4,121190,1.0000,identity
H4,121221,H4,121221,1.0000,identity
H4,121229,H4,121229,1.0000,identity
H4,121291,H4,121291,1.0000,identity
H4,121292,H4,121292,1.0000,identity
H4,121293,H4,121293,1.0000,identity
H4,121294,H4,121294,1.0000,identity
H4,121299,H4,121299,1.0000,identity
H4,121300,H4,121300,1.0000,identity
H4,121410,H4,121410,1.0000,identity
H4,121490,H4,121490,1.0000,identity
H4,130120,H4,130120,1.0000,identity
H4,130190,H4,130190,1.0000,identity
H4,130211,H4,130211,1.0000,identity
H4,130212,H4,130212,1.0000,identity
H4,130213,H4,130213,1.0000,identity
H4,130219,H4,130219,1.0000,identity
H4,130220,H4,130220,1.0000,identity
H4,130231,H4,130231,1.0000,identity
H4,130232,H4,130232,1.0000,identity
H4,130239,H4,130239,1.0000,identity
H4,140110,H4,140110,1.0000,identity
H4,140120,H4,140120,1.0000,identity
H4,140190,H4,140190,1.0000,identity
H4,140420,H4,140420,1.0000,identity
H4,140490,H4,140490,1.0000,identity
H4,150110,H4,150110,1.0000,identity
H4,150120,H4,150120,1.0000,identity
H4,150190,H4,150190,1.0000,identity
H4,150210,H4,150210,1.0000,identity
H4,150290,H4,150290,1.0000,identity
H4,150300,H4,150300,1.0000,identity
H4,150410,H4,150410,1.0000,identity
H4,150420,H4,150420,1.0000,identity
H4,150430,H4,150430,1.0000,identity
H4,150500,H4,150500,1.0000,identity
H4,150600,H4,150600,1.0000,identity
H4,150710,H4,150710,1.0000,identity
H4,150790,H4,150790,1.0000,identity
H4,150810,H4,150810,1.0000,identity
H4,150890,H4,150890,1.0000,identity
H4,150910,H4,150910,1.0000,identity
H4,150990,H4,150990,1.0000,identity
H4,151000,H4,151000,1.0000,identity
H4,151110,H4,151110,1.0000,identity
H4,151190,H4,151190,1.0000,identity
H4,151211,H4,151211,1.0000,identity
H4,151219,H4,151219,1.0000,identity
H4,151221,H4,151221,1.0000,identity
H4,151229,H4,151229,1.0000,identity
H4,151311,H4,151311,1.0000,identity
H4,151319,H4,151319,1.0000,identity
H4,151321,H4,151321,1.0000,identity
H4,151329,H4,151329,1.0000,identity
H4,151411,H4,151411,1.0000,identity
H4,151419,H4,151419,1.0000,identity
H4,151491,H4,151491,1.0000,identity
H4,151499,H4,151499,1.0000,identity
H4,151511,H4,151511,1.0000,identity
H4,151519,H4,151519,1.0000,identity
H4,151521,H4,151521,1.0000,identity
H4,151529,H4,151529,1.0000,identity
H4,151530,H4,151530,1.0000,identity
H4,151550,H4,151550,1.0000,identity
H4,151590,H4,151590,1.0000,identity
H4,151610,H4,151610,1.0000,identity
H4,151620,H4,151620,1.0000,identity
H4,151710,H4,151710,1.0000,identity
H4,151790,H4,151790,1.0000,identity
H4,151800,H4,151800,1.0000,identity
H4,152000,H4,152000,1.0000,identity
H4,152110,H4,152110,1.0000,identity
H4,152190,H4,152190,1.0000,identity
H4,152200,H4,152200,1.0000,identity
H4,160100,H4,160100,1.0000,identity
H4,160210,H4,160210,1.0000,identity
H4,160220,H4,160220,1.0000,identity
H4,160231,H4,160231,1.0000,identity
H4,160232,H4,160232,1.0000,identity
H4,160239,H4,160239,1.0000,identity
H4,160241,H4,160241,1.0000,identity
